index,Primary Investor Type,target Investment Country,Investment Type,Preferred Industry
429,1,"36",0,0
430,131,"19,25,32,34,44,86,90,110",66,255
431,97,0,"28,59","36,57,59,80,129,171"
432,131,51,0,255
433,131,0,"0","8,19,66,155,233"
434,131,"21",0,"72,118,167,263"
435,4,0,0,0
436,5,35,0,43
438,"21",0,0,22
439,131,114,26,"8,19,208,241,255"
440,97,"46,101",0,"107,129,165,171,232"
441,28,"0",0,129
442,"107,131",0,0,"7,108,111,128,129,153,165,241"
443,1,16,"26,49,81","36,42,91"
444,131,"86,112",26,72
445,"107,131",0,0,"34,100,241"
446,6,52,"0","21"
447,131,95,"26,40","8,19,29,31,64,71,91,97,123,225,265"
448,131,"31",26,"108"
449,"74",0,"0","180,227,232"
450,131,"0",26,0
451,97,79,0,"36,57,129,153,227"
452,131,"33",0,"54,57,100,108,127,151"
453,131,"75,86,90,112","26","57,66,84,85,100,108,255"
454,28,95,"0","36,43,107,171,255"
455,1,33,0,129
456,131,102,0,"29,83,129,153,241,255,274"
457,21,0,0,91
458,"107,131",115,0,"66,153,241"
459,131,"29",0,"7,84,85,108,111,128"
460,67,114,"0","80,85,91,102,154,198,230"
461,131,"0",26,0
462,"131",14,"26","64"
463,131,"21",0,"129,177,255"
464,131,"112",26,31
465,97,"87",0,"69,72",136
466,131,"33,34,35,36,104,114","0","8,19,83,120,153,241"
467,131,"87,102",0,"8,19,43,68,273"
468,59,0,"18,54",0
469,131,"100",0,255
470,"42",35,"26","57,108,175,221,241,272"
471,58,35,"0",0
472,1,0,"0",108
473,131,104,"26,49,81",0
474,97,52,0,"6,7,255"
475,131,"0",26,255
476,131,21,26,40,"85,107,129,254"
477,131,0,43,"8,19,23,64,73,75,81,185,196,233,268"
478,131,0,0,"166,251,274"
479,131,"33",0,"101,154,183,268"
480,85,0,0,91
481,6,36,"0",0
482,"85",35,"0",22
483,"1,64",54,43,"84,108,126,128,129,176"
484,"21",0,"0","91,230,242"
485,21,0,0,"151,167"
486,131,104,0,241
487,"21",0,"0","85"
488,102,0,0,0
489,21,0,"32",198
490,59,0,0,0
491,"21",0,"0",0
492,21,0,0,"129,130"
493,21,114,"0",206
494,"21",0,"0","0"
495,"21",0,"0",42
496,21,0,0,230
497,"21",46,"0","54"
498,4,0,0,0
499,2,0,0,0
500,21,115,0,242
501,"85",0,"0",22
502,102,0,0,0
503,"21",0,"0","61,144,167,171,235"
504,21,114,0,0
505,"11",0,"0",0
506,21,54,"0",101
507,"21",0,"0",62
508,"85",115,"0","22,112,212"
509,"214",0,"0","129,197"
510,97,104,"10,39",144,153,255
511,131,0,0,128
512,21,0,0,"13,111,214"
513,"102",54,"0",0
514,74,114,0,"36,227"
515,21,10,"0",129
516,"21",0,"0",101
517,"21",0,"0","8,19,117"
518,"85",0,"0",41
519,131,80,0,153
520,"42",46,"4,81",129
521,4,0,0,0
522,4,0,0,0
523,4,0,0,0
524,4,0,0,0
525,4,0,0,0
526,21,0,0,227
527,21,46,"0",154
528,"21",0,"0",0
529,71,92,0,0
530,97,46,"0",0
531,"21",0,"0",22
532,21,114,"0",0
533,59,0,"18,35",0
534,131,"0","26",0
535,"89,107",0,0,"36,57,107,182"
537,21,0,0,263
538,131,"0","26",255
539,21,6,0,124
540,21,0,0,6
541,4,0,0,0
542,4,0,0,0
543,"2",0,"0",0
545,0,0,0,0
546,"97",0,"0",0
547,80,0,0,"54,56"
548,21,0,0,216
549,4,0,0,0
550,21,0,0,"154,263"
552,21,0,0,"129"
553,0,0,0,0
554,"21",0,"0","54"
555,4,0,0,0
556,4,0,0,0
557,4,0,0,0
558,4,0,0,0
559,4,0,0,0
560,21,3,0,"47,108,111,125,167,255"
561,4,0,0,0
562,4,0,0,0
563,4,0,0,0
564,4,0,0,0
565,21,0,0,"151,167,263"
566,4,0,0,0
567,4,0,0,0
568,4,0,0,0
569,"11",0,"0",0
570,4,0,0,0
571,4,0,0,0
572,4,0,0,0
573,4,0,0,0
574,4,0,0,0
575,4,0,0,0
576,4,0,0,0
577,4,0,0,0
578,4,0,0,0
579,4,0,0,0
580,4,0,0,0
581,4,0,0,0
582,4,0,0,0
583,21,0,0,275
584,4,0,0,0
585,4,0,0,0
586,4,0,0,0
587,4,0,0,0
588,4,0,0,0
589,0,0,0,0
590,21,0,0,112
591,21,0,0,"99,256"
592,60,35,0,"167,212"
593,97,0,"26,40,96",91
594,"21",0,"0",111
595,21,115,0,0
596,21,0,0,"79,129"
