index,Primary Investor Type,Target Investment Country,Investment Type,Preferred Industry
180,131,0,10;26;49;81,8;19;36;57;58;83;129;153;158;165;171;180;189;207;239;241;254;255
181,131,33,0,1;36;42;57;66;79;91;107;108;129;156;163;165;189;190;197;268
182,1,0,0,7;111;251
183,95,0,0,0
184,97,35,0,7;30;35;36;55;88;90;91;107;108;127;129;147;153;154;165;167;241
185,28,0,26;31;64,0
186,131,115,0,57;100;241
187,97;107,0,0,36;57;108;129;182;256
188,5,46,94,37;42;58;67;71;79;83;84;108;120;126;158;167;188;190;213;221;232;246
189,131,0,0,3;12;22;72;84;91;100;153;165;179;190
190,131,0,0,31;64;273
191,97,79,0,107;108;129;150;255
192,131,46;51;115,26;49,36;57;58;100;107;129;152
193,97,0,10;12;39;56,36;57;85;255
194,28,0,0,19;30;31;83;90;91;108;129;153;165;235
195,6;127,0,0,31;64
196,131,0,0,8;19;30;84;190
197,1,52,0,7;13;22;30;36;42;45;46;54;79;85;108;111;113;127;130;156;158;165;189;197;214;233;259;269
198,97,0,10,22;28;36;57;61;111;147;153;154;171;180;182;241;259
199,6;107,0,18;40;72,107;255
200,63,0,26;49;81;60,42;102
201,6,16;33;115,10;39,57;58;91;107;129;147;153;154;177;227;256
202,97,33;115,0,50;84;108;129;165;169;171;177;233;241
203,131,114,26;40,230;240
204,97;107,115,0,36;66;107;108;129;154
205,97;107,0,0,7;54;55;85;91;92;107;110;125;128;129;136;155;156;162;174;182;183;227;232;235;255;256
206,107;131,0,0,30;31;57;64;100;118
207,97,0,0,0
208,107;131,1;16;59;101;115,26,36;79;108;241
209,131,0,0,2;8;13;19;23;29;30;31;45;52;53;64;68;77;81;90;100;102;118;127;145;153;158;171;177;185;189;191;196;208;209;211;218;225;233;235;236;243;248;268
210,56,0,0,0
211,21,0,0,0
212,131,0,0,255
213,131,0,26,43;57;64;71;108;128;151;175;241;249
214,97;107,0,18;68;95,107
215,131,18,0,31;57;108;120;154;273
216,131,0,0,8;19;57;108;128;150
217,58,16,0,42;91;129;153;255
218,131,21,0,84;153;255
219,71,0,0,0
220,131,0,0,42;50;51;92;102;265;269
221,71,0,0,0
222,97;107,6;16;33;76;79;100,0,36;57;85;125;156;171;232;241;255
223,74,11;36;86;104;105;114,0,36;85;129;153;166
224,97;107,6;16;33,10;12;39,36;56;57;129;182;241
225,97,0,0,57;129;255;256
226,34,0,0,0
227,131,0,0,31;36;91;153;158;165;189;233;241;254;255
228,107;131,0,0,57;58;91;255
229,1,0,0,29;189;263;268
230,97;107,0,0,36;57;107;129;153;177
231,97,6;114;115,40,2;36;42;57;58;91;102;129;147;153;154;165;169;218;233;254
232,1,0,0,255
233,63,0,0,7;85;102;107;116;129;154;171;232;255;259
234,131,0,0,255
235,97;107,115,0,36;107;129;151;255
236,1,0,0,255
237,6;107,0,18;28;72,36;57;58;107;129;153
238,21,0,0,0
239,21,0,0,0
240,107;131,0,0,100;108;241;276
241,131,0,0,66;83;127;153;189;233
242,63,0,43,0
243,4,0,6,0
244,131,0,0,13;28;36;59;85;91;95;129;171;180;230;244
245,107;131,0,0,8;19;30;158;255
246,1,0,38,43;94;97;102;230
247,97,75,0,36;107;111;171;210;241
248,107;131,0,68;79,100;108
249,1,0,0,3;7;91;177;179;180;225;243;252;263
250,131,0,26;40,43;50;128
252,94,0,0,0
253,94,0,0,0
254,6,4;33;79;115,0,28;35;72;230
255,9,0,95,40;81,0
256,131,46;115,0,65;66;128
257,107;131,115,0,36;75;108;156;241;249
258,107;131,115,26;81,108
259,131,0,0,19
260,97,35,0,255
261,131,6,26,31;36;55;66;83;108;175;241;273
